ID,start,end,code,label/text
1,0.0,5.0,- Vis-forklar-vis,
2,0.0,9.0,test1,test2
3,1.0,504.0,test,
4,64.0,81.0,Block 1,
5,70.0,70.0,Block 2,
6,83.0,93.0,Block 2,
