ID,start,end,code
1,42.0,42.0,Session (S)
2,46.0,1448.0,Warm Up (S)
3,1449.0,2458.0,Block 1 (S)
4,1449.0,1528.0,Organization
5,1529.0,1660.0,Active
6,1660.0,1672.0,Coaching
7,1673.0,1788.0,Active
8,1736.0,1736.0,Split 1
9,1788.0,1814.0,Coaching
10,1814.0,1885.0,Active
11,1886.0,1907.0,Coaching
12,1907.0,1954.0,Active
13,1954.0,2029.0,Coaching
14,2030.0,2176.0,Active
15,2177.0,2193.0,Coaching
16,2193.0,2457.0,Active
17,2459.0,3799.0,Block 2 (S)
18,2460.0,2588.0,Organization
19,2589.0,2703.0,Active
20,2642.0,2662.0,Gennembrudsspil (+)
21,2663.0,2683.0,Gennembrudsspil (+)
22,2703.0,2726.0,Coaching
23,2726.0,2830.0,Active
24,2830.0,2989.0,Coaching
25,2870.0,2989.0,Active
26,2990.0,3063.0,Coaching
27,3063.0,3195.0,Active
28,3064.0,3064.0,Active
29,3195.0,3317.0,Coaching
30,3318.0,3435.0,Active
31,3329.0,3349.0,Clip +
32,3334.0,3354.0,Clip +
33,3435.0,3460.0,Coaching
34,3461.0,3578.0,Active
35,3579.0,3583.0,Coaching
36,3584.0,3694.0,Active
37,3694.0,3716.0,Coaching
38,3717.0,3799.0,Active
39,3801.0,3801.0,Block 3 (S)
40,3801.0,3921.0,Organization
41,3921.0,4198.0,Active
42,3936.0,3946.0,Save
43,3941.0,3951.0,Save
44,3947.0,3957.0,Save
45,3955.0,3965.0,Shot (Blocked/Off target)
46,3963.0,3974.0,Goal
47,3976.0,3986.0,Save
48,3977.0,3988.0,Goal
49,4002.0,4013.0,Goal
50,4092.0,4102.0,Save
51,4123.0,4134.0,Goal
52,4199.0,4535.0,Coaching
53,4243.0,4534.0,Organization
54,4243.0,4534.0,Active
55,4288.0,4299.0,Goal
56,4290.0,4300.0,Save
