ID,start,end,code
1,13.0,5401.0,Session (S)
2,13.0,660.0,Warm Up (S)
3,662.0,1871.0,Block 1 (S)
4,666.0,793.0,Organization
5,796.0,832.0,Coaching
6,833.0,958.0,Active
7,958.0,1009.0,Coaching
8,1009.0,1143.0,Active
9,1144.0,1191.0,Coaching
10,1191.0,1328.0,Active
11,1328.0,1371.0,Coaching
12,1372.0,1508.0,Active
13,1509.0,1546.0,Coaching
14,1546.0,1681.0,Active
15,1682.0,1721.0,Coaching
16,1721.0,1868.0,Active
17,1873.0,3194.0,Block 2 (S)
18,1875.0,2043.0,Organization
19,2043.0,2139.0,Coaching
20,2140.0,2161.0,Active
21,2162.0,2195.0,Coaching
22,2188.0,2188.0,Split 2
23,2195.0,2262.0,Active
24,2263.0,2346.0,Coaching
25,2346.0,2425.0,Active
26,2426.0,2457.0,Coaching
27,2457.0,2528.0,Active
28,2529.0,2560.0,Coaching
29,2561.0,2602.0,Active
30,2600.0,2645.0,Coaching
31,2645.0,2713.0,Active
32,2714.0,2759.0,Coaching
33,2759.0,2819.0,Active
34,2819.0,2840.0,Coaching
35,2841.0,2975.0,Active
36,2975.0,3042.0,Coaching
37,3042.0,3159.0,Active
38,3160.0,3188.0,Coaching
39,3197.0,4520.0,Block 3 (S)
40,3200.0,3455.0,Organization
41,3455.0,3501.0,Coaching
42,3502.0,3632.0,Active
43,3534.0,3545.0,Goal
44,3565.0,3576.0,Goal
45,3617.0,3627.0,Shot (Blocked/Off target)
46,3632.0,3722.0,Coaching
47,3723.0,3777.0,Active
48,3778.0,3793.0,Coaching
49,3794.0,3849.0,Active
50,3850.0,3907.0,Coaching
51,3907.0,4043.0,Active
52,3965.0,3975.0,Save
53,3989.0,3999.0,Shot (Blocked/Off target)
54,4044.0,4077.0,Coaching
55,4077.0,4122.0,Active
56,4091.0,4101.0,Shot (Blocked/Off target)
57,4123.0,4164.0,Coaching
58,4164.0,4203.0,Active
59,4204.0,4221.0,Coaching
60,4221.0,4260.0,Active
61,4260.0,4266.0,Coaching
62,4267.0,4313.0,Active
63,4299.0,4309.0,Save
64,4314.0,4351.0,Coaching
65,4351.0,4393.0,Active
66,4359.0,4369.0,Shot (Blocked/Off target)
67,4394.0,4403.0,Coaching
68,4402.0,4413.0,Goal
69,4403.0,4515.0,Active
70,4426.0,4437.0,Goal
71,4512.0,4512.0,Block 4 (S)
72,4514.0,4712.0,Organization
73,4712.0,4712.0,Active
74,5402.0,5402.0,Session (S)
