ID,start,end,code
1,10.0,20.0,Erobringsspil (+)
2,338.0,3335.0,Session (S)
3,383.0,675.0,Warm Up (S)
4,676.0,1563.0,Block 1 (S)
5,676.0,743.0,Organization
6,744.0,821.0,Active
7,822.0,848.0,Coaching
8,848.0,931.0,Active
9,931.0,966.0,Coaching
10,967.0,1054.0,Active
11,1054.0,1085.0,Coaching
12,1086.0,1167.0,Active
13,1168.0,1203.0,Coaching
14,1203.0,1295.0,Active
15,1295.0,1339.0,Coaching
16,1340.0,1437.0,Active
17,1438.0,1481.0,Coaching
18,1481.0,1562.0,Active
19,1564.0,2580.0,Block 2 (S)
20,1564.0,1737.0,Organization
21,1738.0,1903.0,Active
22,1747.0,1767.0,Opbygningsspil (+) - HIK
23,1796.0,1816.0,Forsvarsspil (+)
24,1882.0,1902.0,Gennembrudsspil (+) - HIK
25,1887.0,1907.0,Afslutningsspil (+) - HIK
26,1904.0,1941.0,Coaching
27,1941.0,2004.0,Active
28,1943.0,1963.0,Erobringsspil (+)
29,1979.0,1999.0,Opbygningsspil (+) - HIK
30,1982.0,2002.0,Gennembrudsspil (-) - HIK
31,2005.0,2054.0,Coaching
32,2055.0,2105.0,Active
33,2063.0,2083.0,Afslutningsspil (+) - HIK
34,2084.0,2104.0,Forsvarsspil (-)
35,2105.0,2152.0,Coaching
36,2152.0,2172.0,Opbygningsspil (-) - HIK
37,2152.0,2239.0,Active
38,2156.0,2167.0,Goal
39,2172.0,2192.0,Opbygningsspil (-) - HIK
40,2180.0,2200.0,Forsvarsspil (+)
41,2190.0,2210.0,Gennembrudsspil (+) - HIK
42,2196.0,2216.0,Afslutningsspil (+) - HIK
43,2203.0,2213.0,Shot (Blocked/Off target)
44,2240.0,2296.0,Coaching
45,2296.0,2319.0,Active
46,2320.0,2344.0,Coaching
47,2345.0,2369.0,Active
48,2350.0,2370.0,Opbygningsspil (-) - HIK
49,2369.0,2392.0,Coaching
50,2391.0,2411.0,Opbygningsspil (-) - HIK
51,2393.0,2476.0,Active
52,2407.0,2427.0,Forsvarsspil (+)
53,2433.0,2453.0,Forsvarsspil (+)
54,2453.0,2473.0,Forsvarsspil (-)
55,2476.0,2512.0,Coaching
56,2511.0,2531.0,Opbygningsspil (+) - HIK
57,2513.0,2580.0,Active
58,2537.0,2557.0,Erobringsspil (+)
59,2543.0,2563.0,Gennembrudsspil (-) - HIK
60,2582.0,3333.0,Block 3 (S)
61,2582.0,2780.0,Organization
62,2780.0,2954.0,Active
63,2955.0,3065.0,Coaching
64,3066.0,3241.0,Active
