ID,start,end,code
1,256.0,4189.0,Session (S)
2,362.0,831.0,Warm Up (S)
3,832.0,1979.0,Block 1 (S)
4,833.0,1007.0,Organization
5,879.0,879.0,Split 1
6,1007.0,1097.0,Active
7,1098.0,1214.0,Coaching
8,1215.0,1346.0,Active
9,1347.0,1390.0,Coaching
10,1390.0,1486.0,Active
11,1406.0,1426.0,Build Up (+)
12,1430.0,1450.0,Build Up (+)
13,1487.0,1491.0,Coaching
14,1491.0,1495.0,Active
15,1496.0,1603.0,Coaching
16,1604.0,1664.0,Active
17,1664.0,1703.0,Coaching
18,1703.0,1791.0,Active
19,1759.0,1779.0,Build Up (+)
20,1792.0,1851.0,Coaching
21,1851.0,1975.0,Active
22,1977.0,3313.0,Block 2 (S)
23,1977.0,2171.0,Organization
24,2171.0,2261.0,Active
25,2171.0,2191.0,Breakthrough (+)
26,2186.0,2206.0,Breakthrough (+)
27,2193.0,2213.0,Breakthrough (-)
28,2242.0,2262.0,Defense (+)
29,2262.0,2321.0,Coaching
30,2317.0,2337.0,Defense (+)
31,2321.0,2418.0,Active
32,2324.0,2344.0,Defense (-)
33,2347.0,2367.0,Defense (-)
34,2388.0,2408.0,Defense (+)
35,2419.0,2438.0,Coaching
36,2438.0,2471.0,Active
37,2443.0,2463.0,Defense (+)
38,2452.0,2472.0,Defense (-)
39,2472.0,2480.0,Coaching
40,2480.0,2504.0,Active
41,2505.0,2507.0,Coaching
42,2507.0,2518.0,Active
43,2518.0,2522.0,Coaching
44,2522.0,2588.0,Active
45,2528.0,2548.0,Defense (-)
46,2538.0,2558.0,Defense (-)
47,2562.0,2582.0,Defense (+)
48,2589.0,2653.0,Coaching
49,2654.0,2762.0,Active
50,2668.0,2688.0,Defense (+)
51,2675.0,2695.0,Defense (+)
52,2704.0,2724.0,Defense (+)
53,2740.0,2760.0,Pressing (+)
54,2748.0,2768.0,Defense (-)
55,2762.0,2817.0,Coaching
56,2811.0,2811.0,Split 2
57,2815.0,2835.0,Pressing (+)
58,2818.0,2925.0,Active
59,2839.0,2859.0,Defense (+)
60,2871.0,2891.0,Defense (+)
61,2898.0,2918.0,Defense (+)
62,2926.0,2989.0,Coaching
63,2989.0,3124.0,Active
64,2993.0,3013.0,Pressing (+)
65,3013.0,3033.0,Defense (+)
66,3031.0,3051.0,Defense (-)
67,3062.0,3082.0,Pressing (+)
68,3102.0,3122.0,Pressing (+)
69,3125.0,3132.0,Coaching
70,3132.0,3167.0,Active
71,3151.0,3171.0,Pressing (+)
72,3168.0,3178.0,Coaching
73,3179.0,3313.0,Active
74,3236.0,3256.0,Defense (+)
75,3242.0,3262.0,OFF TR. (+)
76,3266.0,3286.0,Pressing (+)
77,3323.0,4174.0,Block 3 (S)
78,3323.0,3484.0,Organization
79,3484.0,3799.0,Active
80,3512.0,3522.0,Shot (Blocked/Off target)
81,3521.0,3531.0,Shot (Blocked/Off target)
82,3529.0,3539.0,Shot (Blocked/Off target)
83,3549.0,3559.0,Shot (Blocked/Off target)
84,3570.0,3580.0,Save
85,3586.0,3597.0,Goal
86,3634.0,3644.0,Shot (Blocked/Off target)
87,3640.0,3650.0,Shot (Blocked/Off target)
88,3645.0,3655.0,Shot (Blocked/Off target)
89,3663.0,3673.0,Save
90,3674.0,3684.0,Save
91,3676.0,3686.0,Save
92,3693.0,3703.0,Save
93,3701.0,3711.0,Save
94,3713.0,3723.0,Save
95,3717.0,3727.0,Shot (Blocked/Off target)
96,3742.0,3753.0,Goal
97,3764.0,3775.0,Goal
98,3790.0,3800.0,Shot (Blocked/Off target)
99,3799.0,3864.0,Coaching
100,3865.0,4174.0,Active
101,3882.0,3892.0,Save
102,3887.0,3898.0,Goal
103,3906.0,3916.0,Shot (Blocked/Off target)
104,3910.0,3921.0,Goal
105,3920.0,3930.0,Save
106,3927.0,3937.0,Save
107,3949.0,3959.0,Shot (Blocked/Off target)
108,3954.0,3964.0,Shot (Blocked/Off target)
109,3962.0,3972.0,Save
110,3989.0,4000.0,Goal
111,4009.0,4019.0,Shot (Blocked/Off target)
112,4016.0,4026.0,Shot (Blocked/Off target)
113,4026.0,4036.0,Shot (Blocked/Off target)
114,4039.0,4049.0,Shot (Blocked/Off target)
115,4047.0,4057.0,Shot (Blocked/Off target)
116,4064.0,4075.0,Goal
117,4080.0,4090.0,Shot (Blocked/Off target)
118,4086.0,4096.0,Shot (Blocked/Off target)
119,4092.0,4102.0,Save
120,4106.0,4117.0,Goal
121,4113.0,4123.0,Shot (Blocked/Off target)
122,4139.0,4149.0,Shot (Blocked/Off target)
123,4150.0,4161.0,Goal
124,4157.0,4168.0,Goal
