ID,start,end,code
1,35.0,3571.0,Session (S)
2,47.0,278.0,Warm Up (S)
3,279.0,1371.0,Block 1 (S)
4,286.0,417.0,Organization
5,341.0,341.0,Split 1
6,417.0,501.0,Active
7,501.0,564.0,Coaching
8,565.0,669.0,Active
9,644.0,664.0,Opbygningsspil (+) - HIK
10,669.0,697.0,Coaching
11,698.0,758.0,Active
12,700.0,720.0,Opbygningsspil (+) - HIK
13,709.0,729.0,Opbygningsspil (+) - HIK
14,758.0,830.0,Coaching
15,830.0,920.0,Active
16,834.0,854.0,Opbygningsspil (+) - HIK
17,855.0,875.0,Opbygningsspil (-) - HIK
18,921.0,974.0,Coaching
19,974.0,1032.0,Active
20,1017.0,1037.0,Opbygningsspil (+) - HIK
21,1033.0,1085.0,Coaching
22,1085.0,1149.0,Active
23,1112.0,1132.0,Opbygningsspil (+) - HIK
24,1150.0,1198.0,Coaching
25,1198.0,1266.0,Active
26,1266.0,1273.0,Coaching
27,1274.0,1300.0,Active
28,1300.0,1322.0,Coaching
29,1322.0,1344.0,Active
30,1324.0,1340.0,Active
31,1340.0,1349.0,Coaching
32,1350.0,1363.0,Active
33,1372.0,1484.0,Organization
34,1372.0,2269.0,Block 2 (S)
35,1484.0,1564.0,Active
36,1500.0,1520.0,Opbygningsspil (-) - HIK
37,1506.0,1526.0,Opbygningsspil (-) - HIK
38,1511.0,1531.0,Opbygningsspil (+) - HIK
39,1524.0,1544.0,Opbygningsspil (+) - HIK
40,1530.0,1550.0,Opbygningsspil (-) - HIK
41,1552.0,1572.0,Opbygningsspil (-) - HIK
42,1565.0,1595.0,Coaching
43,1595.0,1673.0,Active
44,1618.0,1638.0,Opbygningsspil (+) - HIK
45,1622.0,1642.0,Opbygningsspil (+) - HIK
46,1626.0,1646.0,Opbygningsspil (+) - HIK
47,1630.0,1650.0,Opbygningsspil (+) - HIK
48,1673.0,1749.0,Coaching
49,1750.0,1833.0,Active
50,1750.0,1770.0,Opbygningsspil (+) - HIK
51,1773.0,1793.0,Opbygningsspil (+) - HIK
52,1833.0,1885.0,Coaching
53,1886.0,1978.0,Active
54,1890.0,1910.0,Opbygningsspil (+) - HIK
55,1897.0,1917.0,Opbygningsspil (-) - HIK
56,1923.0,1943.0,Opbygningsspil (+) - HIK
57,1979.0,2017.0,Coaching
58,2017.0,2145.0,Active
59,2049.0,2069.0,Opbygningsspil (-) - HIK
60,2059.0,2079.0,Opbygningsspil (-) - HIK
61,2131.0,2151.0,Opbygningsspil (+) - HIK
62,2145.0,2198.0,Coaching
63,2198.0,2269.0,Active
64,2221.0,2241.0,Opbygningsspil (+) - HIK
65,2270.0,2492.0,Organization
66,2270.0,3570.0,Block 3 (S)
67,2492.0,2520.0,Active
68,2521.0,2531.0,Coaching
69,2531.0,2622.0,Active
70,2623.0,2675.0,Coaching
71,2676.0,2703.0,Active
72,2677.0,2697.0,Opbygningsspil (+) - HIK
73,2703.0,2725.0,Coaching
74,2725.0,2776.0,Active
75,2740.0,2760.0,Opbygningsspil (-) - HIK
76,2742.0,2762.0,Erobringsspil (+)
77,2777.0,2782.0,Coaching
78,2779.0,2799.0,Opbygningsspil (-) - HIK
79,2783.0,2824.0,Active
80,2824.0,2863.0,Coaching
81,2863.0,2967.0,Active
82,2870.0,2890.0,Forsvarsspil (+)
83,2886.0,2906.0,Opbygningsspil (+) - HIK
84,2968.0,3007.0,Coaching
85,3007.0,3110.0,Active
86,3013.0,3033.0,Opbygningsspil (-) - HIK
87,3062.0,3082.0,Gennembrudsspil (+) - HIK
88,3111.0,3143.0,Coaching
89,3144.0,3209.0,Active
90,3154.0,3174.0,Opbygningsspil (+) - HIK
91,3209.0,3217.0,Coaching
92,3218.0,3319.0,Active
93,3221.0,3241.0,Opbygningsspil (+) - HIK
94,3234.0,3254.0,Gennembrudsspil (-) - HIK
95,3250.0,3270.0,Erobringsspil (-)
96,3270.0,3290.0,Opbygningsspil (-) - HIK
97,3319.0,3331.0,Coaching
98,3329.0,3349.0,Opbygningsspil (+) - HIK
99,3332.0,3347.0,Active
100,3347.0,3403.0,Coaching
101,3404.0,3570.0,Active
102,3429.0,3449.0,Opbygningsspil (-) - HIK
103,3438.0,3458.0,Forsvarsspil (-)
104,3515.0,3535.0,Opbygningsspil (-) - HIK
