ID,start,end,code
1,11.0,4703.0,Session (S)
2,284.0,522.0,Warm Up (S)
3,519.0,1364.0,Block 1 (S)
4,523.0,616.0,Organization
5,616.0,1364.0,Active
6,1169.0,1169.0,Split 1
7,1365.0,3232.0,Block 2 (S)
8,1367.0,1577.0,Organization
9,1577.0,1616.0,Active
10,1616.0,1628.0,Coaching
11,1628.0,1650.0,Active
12,1650.0,1677.0,Coaching
13,1678.0,1688.0,Active
14,1688.0,1700.0,Coaching
15,1701.0,1741.0,Active
16,1741.0,1756.0,Coaching
17,1757.0,1766.0,Active
18,1766.0,1793.0,Coaching
19,1793.0,1813.0,Opbygningsspil (-)
20,1794.0,1873.0,Active
21,1798.0,1818.0,Opbygningsspil (+)
22,1820.0,1840.0,Opbygningsspil (-)
23,1873.0,1885.0,Coaching
24,1886.0,1906.0,Opbygningsspil (+)
25,1886.0,1949.0,Active
26,1896.0,1907.0,Goal
27,1903.0,1923.0,Forsvarsspil (-)
28,1908.0,1928.0,Opbygningsspil (+)
29,1923.0,1943.0,Opbygningsspil (-)
30,1949.0,1956.0,Coaching
31,1957.0,1959.0,Active
32,1959.0,1983.0,Coaching
33,1983.0,2015.0,Active
34,1988.0,2008.0,Opbygningsspil (+)
35,1991.0,2011.0,Gennembrudsspil (+)
36,1999.0,2019.0,Afslutningsspil (-)
37,2016.0,2021.0,Coaching
38,2017.0,2037.0,Opbygningsspil (+)
39,2021.0,2039.0,Active
40,2040.0,2062.0,Coaching
41,2059.0,2079.0,Opbygningsspil (+)
42,2061.0,2081.0,Gennembrudsspil (+)
43,2063.0,2126.0,Active
44,2093.0,2113.0,Opbygningsspil (-)
45,2099.0,2119.0,Forsvarsspil (+)
46,2127.0,2158.0,Coaching
47,2158.0,2194.0,Active
48,2164.0,2184.0,Opbygningsspil (+)
49,2180.0,2200.0,Forsvarsspil (+)
50,2182.0,2192.0,Save
51,2194.0,2217.0,Coaching
52,2218.0,2242.0,Active
53,2230.0,2240.0,Save
54,2243.0,2257.0,Coaching
55,2255.0,2275.0,Opbygningsspil (+)
56,2257.0,2278.0,Active
57,2279.0,2304.0,Coaching
